frequencies,intensities
1.000000000000000000e+03,-3.535392436672682437e-02
1.001669449081803009e+03,2.164718926914274699e-02
1.003338898163606018e+03,-1.176760561727163874e-02
1.005008347245409027e+03,-5.669396928316987241e-04
1.006677796327212036e+03,2.374712243844191370e-02
1.008347245409015045e+03,-1.491462723772837493e-02
1.010016694490818054e+03,-5.281046618318149463e-03
1.011686143572621063e+03,4.166570394123313842e-02
1.013355592654424072e+03,1.093201293686680078e-02
1.015025041736227081e+03,-2.353757165881195657e-02
1.016694490818030090e+03,5.390083706059567090e-03
1.018363939899833099e+03,9.616199316165138095e-03
1.020033388981636108e+03,3.653786279525504666e-02
1.021702838063439117e+03,7.642359205966777966e-03
1.023372287145242126e+03,7.329254983995060237e-03
1.025041736227045021e+03,3.646070974891749833e-02
1.026711185308848144e+03,2.298526954680658180e-02
1.028380634390651039e+03,2.813458662931056422e-03
1.030050083472454162e+03,1.575759345840013238e-03
1.031719532554257057e+03,1.094170660942880499e-02
1.033388981636060180e+03,2.557417182238606868e-02
1.035058430717863075e+03,2.336096904827677373e-02
1.036727879799666198e+03,-1.447626389799008817e-02
1.038397328881469093e+03,7.396792537512198069e-03
1.040066777963272216e+03,3.235926877975939253e-02
1.041736227045075111e+03,-4.530964074880110964e-03
1.043405676126878234e+03,1.536539371687629246e-02
1.045075125208681129e+03,9.056693332009570219e-03
1.046744574290484252e+03,-4.166708601547886026e-03
1.048414023372287147e+03,5.940318263382985547e-03
1.050083472454090042e+03,-2.260247936355607584e-02
1.051752921535893165e+03,1.131205245124499922e-02
1.053422370617696060e+03,-2.215898788103085049e-02
1.055091819699499183e+03,9.795405860642416793e-03
1.056761268781302078e+03,-3.273145168618460388e-02
1.058430717863105201e+03,6.030114712566937360e-03
1.060100166944908096e+03,5.540242649807761155e-02
1.061769616026711219e+03,7.882280171801866325e-03
1.063439065108514114e+03,1.965465112078888799e-02
1.065108514190317237e+03,-3.869745791308974031e-03
1.066777963272120132e+03,1.023111146277754652e-02
1.068447412353923255e+03,5.242573558781286891e-02
1.070116861435726150e+03,3.950107054640862592e-02
1.071786310517529273e+03,-8.164042370048908009e-03
1.073455759599332168e+03,1.544556962585110632e-02
1.075125208681135291e+03,1.633396412457675112e-02
1.076794657762938186e+03,-2.790337947986696460e-03
1.078464106844741309e+03,1.073152049507449489e-02
1.080133555926544204e+03,2.120999404715689235e-02
1.081803005008347327e+03,2.188801851971590787e-02
1.083472454090150222e+03,1.963448707911918945e-02
1.085141903171953345e+03,1.481814207941369553e-02
1.086811352253756240e+03,2.404808844034334731e-02
1.088480801335559363e+03,6.067310229467315352e-02
1.090150250417362258e+03,2.561212467926037364e-02
1.091819699499165381e+03,6.051064166297059899e-02
1.093489148580968276e+03,1.725159232731728401e-02
1.095158597662771172e+03,3.821886693822817982e-02
1.096828046744574294e+03,-3.411449468341593017e-02
1.098497495826377190e+03,2.770567055875163692e-02
1.100166944908180312e+03,1.510244605126412169e-02
1.101836393989983208e+03,6.118293977295288094e-02
1.103505843071786330e+03,3.338777868019277700e-02
1.105175292153589226e+03,-2.381808640688817119e-03
1.106844741235392348e+03,3.888960659670970266e-02
1.108514190317195244e+03,-2.953565186983828431e-02
1.110183639398998366e+03,5.400938263694329833e-02
1.111853088480801262e+03,4.748755574380633671e-03
